country,asin,sales_rank,daily_units,price,stars,reviews,insert_date,rank_small
Us,B01M29YGXX,4668,5,42.99,4.4,134,2023/12/1,142
Us,B077ZRP3XX,217,40,29.99,4.3,369,2023/12/1,10
Us,B07QBPSQXX,31251,2,43.99,4.9,23,2023/12/1,49
Us,B07QBPTNXX,27081,3,41.99,4.9,23,2023/12/1,43
Us,B07QLPG6XX,189002,1,45.99,4.5,25,2023/12/1,222
Us,B07QPR1PXX,73212,2,42.99,4.5,25,2023/12/1,101
Us,B07QLPG8XX,26719,4,34.99,4.5,25,2023/12/1,42
Us,B07S16PZXX,283755,0,-1,4.8,17,2023/12/1,874
Us,B07S291NXX,184706,0,10.99,4.8,17,2023/12/1,578
Us,B07S4HN2XX,163599,0,14.59,5,2,2023/12/1,-1
Us,B07QW51WXX,140972,0,15.99,4.2,12,2023/12/1,-1
Us,B07QZBDQXX,196813,0,15.99,4.2,12,2023/12/1,-1
Us,B07TB3QWXX,191033,0,27.99,4.3,3,2023/12/1,-1
Us,B07TB311XX,214899,0,27.99,4.3,3,2023/12/1,-1
Us,B07QV4QTXX,209496,0,14.99,3.7,21,2023/12/1,5291
Us,B07R1HZVXX,138439,0,14.99,3.7,21,2023/12/1,3524
Us,B07QV4S8XX,90396,0,14.99,3.7,21,2023/12/1,2214
Us,B07QY6R8XX,135136,0,14.99,3.7,21,2023/12/1,3432
Us,B07R2KP9XX,229255,0,14.99,3.7,21,2023/12/1,5713
Us,B07QFR2XXX,5617,5,20.99,4.9,19,2023/12/1,45
Jp,B07R8XZPXX,38723,-1,3080,4.5,8,2023/12/1,501
Jp,B07R5RLPXX,22126,-1,2680,4.5,8,2023/12/1,280
Jp,B07VNCB3XX,891,-1,2480,4.5,8,2023/12/1,10
Jp,B07VPBDCXX,-1,-1,6680,4.5,8,2023/12/1,-1
Jp,B07RB45KXX,88969,-1,3080,4.5,8,2023/12/1,1270
Jp,B07RB45XXX,82505,-1,3080,4.5,8,2023/12/1,1159
Ca,B078NT86XX,174,90,39.99,4.1,37,2023/12/1,13
Ca,B078NTCXXX,13192,1,-1,4.1,37,2023/12/1,335
Us,B07HDYXTXX,-1,-1,-1,,-1,2023/12/1,-1
Us,B07FNMKFXX,95679,0,-1,4.1,4,2023/12/1,-1
Us,B07FNPP7XX,25515,0,38.99,4.2,14,2023/12/1,590
Us,B07FNP5XXX,11567,0,33.99,4.2,14,2023/12/1,296
